,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
146,1628402,23,6.6,1.0,1.3,0.4,0.0,1.0,0.813,0.373,0.303,1.4,6.2,2.9,14.3,-3.5
147,1626163,25,11.5,2.3,5.3,0.4,0.4,1.0,0.644,0.452,0.34,2.9,9.2,3.8,24.0,0.0
148,1628412,3,1.3,1.3,0.3,0.3,0.0,0.3,0.5,0.25,0.5,0.7,1.3,0.7,4.3,4.3
149,1628373,25,6.1,3.1,2.0,1.4,0.4,1.2,0.8,0.382,0.328,0.8,6.1,2.6,24.6,-4.0
150,1627832,22,18.0,7.0,3.8,2.0,0.1,2.4,0.876,0.409,0.395,4.4,14.0,6.7,36.6,4.5
151,1627788,27,8.0,0.9,2.3,0.4,0.2,0.7,0.81,0.427,0.357,0.8,6.9,4.3,21.5,0.9
152,202066,26,10.6,2.4,3.1,0.9,0.5,1.2,0.767,0.415,0.348,1.2,9.1,6.3,28.1,-0.2
153,1629726,3,1.0,0.7,0.7,0.0,0.0,0.7,0.0,0.333,0.333,0.0,1.0,1.0,6.3,1.7
154,1629109,11,4.0,0.7,2.3,0.1,0.5,0.1,1.0,0.385,0.333,0.3,3.5,3.0,12.0,4.0
155,203914,25,11.1,2.2,2.9,1.1,0.3,1.0,0.789,0.418,0.361,1.5,10.0,4.3,32.5,4.4
156,1629018,13,3.2,0.4,1.2,0.2,0.2,0.2,0.0,0.366,0.423,0.0,3.2,2.0,8.3,-1.2
157,201588,25,9.6,3.1,3.1,0.8,0.1,0.8,0.833,0.542,0.534,1.7,6.1,2.9,21.4,5.6
158,1627777,20,4.5,0.5,1.8,0.1,0.2,0.5,0.7,0.478,0.419,0.5,3.4,2.2,12.0,-3.5
159,203507,26,31.0,5.3,12.8,1.3,1.2,3.7,0.593,0.563,0.328,10.8,20.4,5.0,31.1,11.3
160,203922,28,11.5,1.6,4.8,1.0,0.3,0.9,0.833,0.456,0.371,1.3,10.1,3.2,31.9,-7.5
161,1629048,21,3.4,0.7,2.5,0.0,1.0,0.5,0.737,0.466,0.286,0.9,2.8,0.7,10.9,0.0
162,201609,18,15.9,5.0,3.2,0.7,0.2,2.6,0.711,0.466,0.406,4.2,11.6,5.3,28.7,1.8
163,202330,11,17.5,4.1,6.1,0.7,0.3,1.8,0.783,0.556,0.395,2.1,13.1,3.5,30.6,6.5
164,203476,21,4.4,1.0,4.0,0.7,1.0,0.7,0.75,0.419,0.3,0.8,4.1,1.4,12.4,-3.2
165,1629684,22,2.0,0.8,2.2,0.4,0.5,0.8,0.824,0.25,0.038,0.8,2.7,1.2,14.0,2.4
166,1628960,13,8.2,1.5,2.9,0.4,0.1,1.2,0.882,0.413,0.349,1.3,7.1,3.3,18.9,-2.6
167,1628977,12,8.8,0.8,3.8,1.5,0.3,1.2,0.611,0.5,0.154,1.5,7.7,1.1,21.4,0.9
168,203084,26,16.0,2.3,5.3,0.8,0.2,1.5,0.798,0.464,0.354,4.6,11.8,3.8,35.4,0.5
169,1628385,7,3.4,0.7,1.0,0.3,0.4,0.7,1.0,0.44,0.0,0.3,3.6,0.0,7.4,-3.7
170,202355,23,16.2,1.4,12.4,0.4,2.4,1.9,0.768,0.618,1.0,3.6,10.8,0.0,28.4,1.0
171,1627740,3,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.7,0.7,3.4,1.3
172,101133,4,7.3,0.8,4.3,0.3,1.5,1.3,0.75,0.526,0.0,3.0,4.8,0.5,17.1,7.5
173,1629649,7,2.0,0.3,0.7,0.0,0.1,0.3,0.75,0.25,0.125,0.6,2.9,1.1,6.8,-1.3
174,202697,13,4.2,0.9,2.6,0.9,0.2,0.8,0.571,0.328,0.242,0.5,4.9,2.5,18.5,-4.0
